,Species,Temp,Pulse
1,ex,20.8,67.9
2,ex,20.8,65.1
3,ex,24,77.3
4,ex,24,78.7
5,ex,24,79.4
6,ex,24,80.4
7,ex,26.2,85.8
8,ex,26.2,86.6
9,ex,26.2,87.5
10,ex,26.2,89.1
11,ex,28.4,98.6
12,ex,29,100.8
13,ex,30.4,99.3
14,ex,30.4,101.7
15,niv,17.2,44.3
16,niv,18.3,47.2
17,niv,18.3,47.6
18,niv,18.3,49.6
19,niv,18.9,50.3
20,niv,18.9,51.8
21,niv,20.4,60
22,niv,21,58.5
23,niv,21,58.9
24,niv,22.1,60.7
25,niv,23.5,69.8
26,niv,24.2,70.9
27,niv,25.9,76.2
28,niv,26.5,76.1
29,niv,26.5,77
30,niv,26.5,77.7
31,niv,28.6,84.7
